review_id,source_row_id,title,observed_at,public_urls,source_check_csv,source_check_csv_sha256,source_check_md,source_check_md_sha256,source_summary_row_sha256,trace_status,review_boundary
FPR-E2SCT-004,E2SCT-004,GenAI Confessions / STROLL,2026-06-06,https://github.com/hanyfarid/MembershipInference;https://zenodo.org/records/14573149;https://huggingface.co/datasets/faridlab/stroll;https://export.arxiv.org/api/query?id_list=2501.06399,docs/internal/e2-n50-freeze-preflight-2026-06-06/e2sct004_genai_confessions_public_surface_check_2026_06_06.csv,edac68c7db0d86bec3a704aa35bad1937cecf4736f658bbb5f4edec1c5b7789a,docs/internal/e2-n50-freeze-preflight-2026-06-06/e2sct004_genai_confessions_public_surface_check_2026_06_06.md,a09258d5a8e7c8fe1263025f1c0bf4c97d465c1641008082a7e6127fadea9b45,32f0fdad10ad3d442cda51c5334810ae47370ac9681c7289df1d9932c92148d2,no-download public-surface trace,"for reviewer navigation and row identity only; not external adjudication, denominator evidence, or compute release"
FPR-E2SCT-012,E2SCT-012,Shake-to-Leak,2026-06-06,https://github.com/VITA-Group/Shake-to-Leak;https://github.com/VITA-Group/Shake-to-Leak/releases,docs/internal/e2-n50-freeze-preflight-2026-06-06/e2sct012_shake_to_leak_public_surface_check_2026_06_06.csv,deca2c2c18e366b171be38dfd6c57419a1769cff3eecb6e2967b054475aeddeb,docs/internal/e2-n50-freeze-preflight-2026-06-06/e2sct012_shake_to_leak_public_surface_check_2026_06_06.md,60ab9a0281008ce87ee429bcb0f2cf1c0274770ef1593a3c80fdd9e25ad4e430,20956f1c11c1cdf4860514f7b2991632c972b5272899e334ee7257047157b71d,no-download public-surface trace,"for reviewer navigation and row identity only; not external adjudication, denominator evidence, or compute release"
FPR-E2SCT-016,E2SCT-016,MIAHOLD / HOLD++,2026-06-07,https://github.com/bensterl15/MIAHOLD;https://github.com/bensterl15/MIAHOLDCIFAR,docs/internal/e2-n50-freeze-preflight-2026-06-06/e2sct016_miahold_public_surface_check_2026_06_07.csv,83cd24a7fb88432f9c7168b4c783685230c9f09eedf1f774c1c666b0dedfff9f,docs/internal/e2-n50-freeze-preflight-2026-06-06/e2sct016_miahold_public_surface_check_2026_06_07.md,88700222edda82dfb57fba4ea192767df3397eb64dfd966d20b9703a5f469822,895a93456859537635975e235bb133965ab6803bc770c7f826b7c16088af6b4d,no-download public-surface trace,"for reviewer navigation and row identity only; not external adjudication, denominator evidence, or compute release"
FPR-E2SCT-021,E2SCT-021,ELSA Health Privacy Challenge,2026-06-07,https://github.com/PMBio/Health-Privacy-Challenge,docs/internal/e2-n50-freeze-preflight-2026-06-06/e2sct021_elsa_health_privacy_public_surface_check_2026_06_07.csv,225d4899d2636d9d732e12ed542dc280aea09433adf8232b21cc5510d29766b5,docs/internal/e2-n50-freeze-preflight-2026-06-06/e2sct021_elsa_health_privacy_public_surface_check_2026_06_07.md,a893d538b13f98c9a6192a3fe49289fb4b74c84790d682b7e2c416d7c0d9ce2b,529e7ddb935bb8070fb66eb76dab0aee88d48a4a7ac918cf2742d3bb0467fff9,no-download public-surface trace,"for reviewer navigation and row identity only; not external adjudication, denominator evidence, or compute release"
FPR-E2SCT-002,E2SCT-002,DMin,2026-06-07,https://github.com/huawei-lin/DMin,docs/internal/e2-n50-freeze-preflight-2026-06-06/e2sct002_dmin_public_surface_check_2026_06_07.csv,65e0533d1220509e487043284f44f800d21e43b6cf833fb8d5e5d925d589d8d1,docs/internal/e2-n50-freeze-preflight-2026-06-06/e2sct002_dmin_public_surface_check_2026_06_07.md,4cacfede16a3f50351da2445dcff9707d7cbf00bce4059ef1a1699285a3c75ae,db4d4658db2fe02de229b08102161f93874211fdd34876cc98c13790fc329d2e,no-download public-surface trace,"for reviewer navigation and row identity only; not external adjudication, denominator evidence, or compute release"
FPR-E2SCT-005,E2SCT-005,DIFFENCE,2026-06-07,https://github.com/SPIN-UMass/Diffence;https://zenodo.org/records/13706131,docs/internal/e2-n50-freeze-preflight-2026-06-06/e2sct005_diffence_public_surface_check_2026_06_07.csv,17afa3b8999a07dbf233fbb4b7a779988fb03690f52a65fe201cee9dd5d50c7d,docs/internal/e2-n50-freeze-preflight-2026-06-06/e2sct005_diffence_public_surface_check_2026_06_07.md,b75c83dc639030edbb67a18290382374217d198ae5a83a2a9277b1c5b57fffa8,b44e0f71aeb75456b9ccb5431ae31d301a3eecdaac4a77e902a2a5fb5e026c48,no-download public-surface trace,"for reviewer navigation and row identity only; not external adjudication, denominator evidence, or compute release"
FPR-E2SCT-013,E2SCT-013,DCR,2026-06-07,https://github.com/somepago/DCR,docs/internal/e2-n50-freeze-preflight-2026-06-06/e2sct013_dcr_public_surface_check_2026_06_07.csv,85d24526d2b1638aea3b0f38bf648c61bfe90cca5400661dd218e8b7fe763da9,docs/internal/e2-n50-freeze-preflight-2026-06-06/e2sct013_dcr_public_surface_check_2026_06_07.md,596ca9062b026406d24a84538b5c10ad70fb209eb00c736816e691ede4bc67f9,444b047a8466b09469834fb63134990fd51f6e6a858a9e8c684ae8a17e060e63,no-download public-surface trace,"for reviewer navigation and row identity only; not external adjudication, denominator evidence, or compute release"
FPR-E2SCT-009,E2SCT-009,Memorization Anisotropy,2026-06-07,https://github.com/rohanasthana/memorization-anisotropy,docs/internal/e2-n50-freeze-preflight-2026-06-06/e2sct009_memorization_anisotropy_public_surface_check_2026_06_07.csv,22f98fb5f4a206657072b15d824bf8b4f211ae7336fef2e253c7793b5b4feef5,docs/internal/e2-n50-freeze-preflight-2026-06-06/e2sct009_memorization_anisotropy_public_surface_check_2026_06_07.md,c4ba5d53c00ab798be6f94e5965bc9cd68cb76363216a6e804a3c5fd3fedb597,54f725168f202beea69fcd63740f8002fb85c945007446ecd276a28aac6793c1,no-download public-surface trace,"for reviewer navigation and row identity only; not external adjudication, denominator evidence, or compute release"
FPR-E2SCT-014,E2SCT-014,CDI copyrighted data identification,2026-06-07,https://github.com/sprintml/copyrighted_data_identification,docs/internal/e2-n50-freeze-preflight-2026-06-06/e2sct014_cdi_public_surface_check_2026_06_07.csv,01f0d06549728424b9f34b50aa91d7473ecc00da458e31944a0b5d372dab0651,docs/internal/e2-n50-freeze-preflight-2026-06-06/e2sct014_cdi_public_surface_check_2026_06_07.md,5db2d941a08b9f21301fbbaf905a7466bc603df7f2b4d4606889385850d17762,94296a8b03bf8e75d06a2d07038f5186d72ef0ac54e764b581780bfc928c370a,no-download public-surface trace,"for reviewer navigation and row identity only; not external adjudication, denominator evidence, or compute release"
FPR-E2SCT-011,E2SCT-011,VAE2Diffusion,2026-06-07,https://github.com/mx-ethan-rao/VAE2Diffusion;https://arxiv.org/abs/2511.20592;https://github.com/mx-ethan-rao/VAE2Diffusion/releases,docs/internal/e2-n50-freeze-preflight-2026-06-06/e2sct011_vae2diffusion_public_surface_check_2026_06_07.csv,f80a12c5638d844f3efb3b7fd43d4207452b5ceaf6d3ab3cffb652be756461e9,docs/internal/e2-n50-freeze-preflight-2026-06-06/e2sct011_vae2diffusion_public_surface_check_2026_06_07.md,5c8d61ea5fdcc6a6268058e246992fe7e602fb8bda8b87361246b7fe0e38c327,268b7f8df1af3fae81122ba997c50a8049e0e1c27d3f017b8d58754711cb532a,no-download public-surface trace,"for reviewer navigation and row identity only; not external adjudication, denominator evidence, or compute release"
